ARTIST_NAME-SONG_NAME	ARTIST_URL	SONG_NAME	SONG_URL	LYRICS
portishead-mysterons	https://www.azlyrics.com/p/portishead.html	mysterons	https://www.azlyrics.com/lyrics/portishead/mysterons.html	inside your pretending, crimes have been swept aside, somewhere where they can forget, divine upper reaches, still holding on, this ocean will not be grasped, all for nothing, did you really want, did you really want, did you really want, did you really want, refuse to surrender, strung out until ripped apart, who dares, dares to condemn, all for nothing, did you really want, did you really want, did you really want, did you really want
portishead-sour times	https://www.azlyrics.com/p/portishead.html	sour times	https://www.azlyrics.com/lyrics/portishead/sourtimes.html	to pretend no one can find, the fallacies of morning rose, forbidden fruit, hidden eyes, courtesies that i despise in me, take a ride, take a shot now, 'cause nobody loves me, it's true, not like you do, covered by the blind belief, that fantasies of sinful screens, bear the facts, assume the dye, end the vows, no need to lie, enjoy, take a ride, take a shot now, 'cause nobody loves me, it's true, not like you do, who am i, what and why?, 'cause all i have left is my memories of yesterday, oh these sour times, 'cause nobody loves me, it's true, not like you do, after time the bitter taste, of innocence, decent or race, scattered seeds, buried lives, mysteries of our disguise revolve, circumstance will decide. 'cause nobody loves me, it's true, not like you do, 'cause nobody loves me, it's true, not like you, nobody loves. me, it's true, not, like, you. do
portishead-strangers	https://www.azlyrics.com/p/portishead.html	strangers	https://www.azlyrics.com/lyrics/portishead/strangers.html	ohh. can anybody see the light, where the morn meets the dew and the tide rises, did you realise, no one can see inside your view, did you realise, for why this sight belongs to you, ohh. just set aside your fears of life, thru this sole desire, done it warning, done it now, this ain't real, on in this side, done it warning, done it now, this ain't real, on in this side, done it warning, done it now, this ain't real, done it warning, done it now, this ain't real, on in this side, ohh.. can anybody see the light, were the morn meets the dew and the tide rises, did you realise, no one can ever see inside you view, did you realise, forewhy this sight belongs to you
portishead-it could be sweet	https://www.azlyrics.com/p/portishead.html	it could be sweet	https://www.azlyrics.com/lyrics/portishead/itcouldbesweet.html	i don't want to hurt you, for no reason have i but fear, and i ain't guilty of the crimes you accuse me of, but i'm guilty of fear, i'm sorry to remind, you but i'm scared of what we're creating, this life ain't fair, you don't get something for nothing, turn now, mmmm gotta try a little harder, it could be sweet, like a long forgotten dream, and we don't need them to cast the fate we have, love don't always shine thru, cos i don't wanna lose, what we had last time your leaving this life ain't fair, you don't get something for nothing, turn now, mmmm gotta try a little harder, it could be sweet. but the thoughts we try to deny, take a toll upon our lives, we struggle on in depths of pride, tangled up in single minds, cos i don't wanna lose, what we had last time your leaving this life ain't fair, you don't get something for nothing, turn back, mmmm gotta try a little harder, cos i don't wanna lose, what we had last time your leaving this life ain't fair, you don't get something for nothing, turn back, mmmm gotta try a little harder, it could be sweet
portishead-wandering star	https://www.azlyrics.com/p/portishead.html	wandering star	https://www.azlyrics.com/lyrics/portishead/wanderingstar.html	please could you stay awhile to share my grief, for its such a lovely day, to have to always feel this way, and the time that i will suffer less, is when i never have to wake, wandering stars, for whom it is reserved, the blackness of darkness forever, wandering stars, for whom it is reserved, the blackness of darkness forever, those who have seen the needles eye, now tread, like a husk, from which all that was, now has fled, and the masks, that the monsters wear, to feed, upon their prey, wandering stars, for whom it is reserved, the blackness of darkness forever, wandering stars, for whom it is reserved, the blackness of darkness forever, doubled up inside, take awhile to shed my grief, doubled up inside, taunted, cruel. wandering stars, for whom it is reserved, the blackness of darkness forever, wandering stars, for whom it is reserved, the blackness of darkness forever
portishead-its a fire	https://www.azlyrics.com/p/portishead.html	its a fire	https://www.azlyrics.com/lyrics/portishead/itsafire.html	its a fire, these dreams they pass me by, this salvation i desire, keeps getting me down, cos we need to, recognise mistakes, for time and again, so let it be known for what we believe in, i can see no reason for it to fail. cos this life is a farce, i can't breathe through this mask, like a fool, so breathe on, sister breathe on, from this oneself, testify or tell, its fooling us now, so let it be known for what we believe in, i can see no reason for it to fail. cos this life is a farce, i can't breathe through this mask, like a fool, so breathe on, little sister, breathe on, ohh so breathe on, little sister, like a fool
portishead-numb	https://www.azlyrics.com/p/portishead.html	numb	https://www.azlyrics.com/lyrics/portishead/numb.html	unable so lost, i can't find my way, been searching, but i have never seen, a turning, a turning from deceit, cos the child roses like, try to reveal what i could feel, i can't understand myself anymore, but i m still feeling lonely, feeling so unholy, cos the child roses like, try to reveal what i could feel, but this loneliness, it just won't leave me alone, i'm fooling somebody, a faithless path to roam, deceiving to breath this secretly, this silence, a silence i can't bear, cos the child roses like, try to reveal what i could feel, and this loneliness, it just won't leave me alone, and this loneliness, it just won't leave me alone, ohh no, a lady of war, a lady of war
portishead-roads	https://www.azlyrics.com/p/portishead.html	roads	https://www.azlyrics.com/lyrics/portishead/roads.html	ohh, can't anybody see, we've got a war to fight, never found our way, regardless of what they say, how can it feel, this wrong, from this moment, how can it feel, this wrong, storm. in the morning light, i feel, no more can i say, frozen to myself, i got nobody on my side, and surely that ain't right, and surely that ain't right, ohh, can't anybody see, we've got a war to fight, never found our way, regardless of what they say, how can it feel, this wrong, from this moment, how can it feel, this wrong, how can it feel, this wrong, from this moment, how can it feel, this wrong, ohh, can't anybody see, we've got a war to fight, never found our way, regardless of what they say, how can it feel, this wrong, from this moment, how can it feel, this wrong
portishead-pedestal	https://www.azlyrics.com/p/portishead.html	pedestal	https://www.azlyrics.com/lyrics/portishead/pedestal.html	how can i believe this miracle, where the wind blows dry, thru the force of a man, undenied by his eye, you abandoned me, how i suffer, ridicule breathes a sigh, you abandoned me, lost forever, hush, can you hear. enter and rejoice this pedestal, where the rainbows hide, your destiny, mystery of all time, no time make or reason, ridicule breathes a sigh, no time make or reason, hush, hear him cry. no time, make or reason, no time, make or reason, no time, make or reason
portishead-humming	https://www.azlyrics.com/p/portishead.html	humming	https://www.azlyrics.com/lyrics/portishead/humming.html	closer, no hesitation, give me, all that you have, and it's been so long, that i can't explain, and it's been so wrong, right now, so wrong, naked, my thoughts are creeping, too late, the show has begun, and it's been so long, that i can't confess, and it's been so wrong, right now, so wrong, is it all as it seems, so unresolved, so unredeemed, if i remain, how will i know, and it's been so long, that i can't be sure, and it's been so wrong, right now, so wrong
portishead-mourning air	https://www.azlyrics.com/p/portishead.html	mourning air	https://www.azlyrics.com/lyrics/portishead/mourningair.html	did i see a moment with you, in a half lit world, i'm frightened to believe, but i must try, if i stumble if i fall, i'm reaching out in this mourning air, ohh, have i got the strength to ask, beyond the window, i feel this fear alone, until we have, total honesty, if i tremble or fall, i'm reaching out in this mourning air, ohh, should i feel a moment with you, to softly whisper, i crave nothing else so much, longing to reveal, total honesty, i can feel your touch, i'm reaching out in this mourning air, ohh, i'm reaching out in this mourning air, ohh.
portishead-seven months	https://www.azlyrics.com/p/portishead.html	seven months	https://www.azlyrics.com/lyrics/portishead/sevenmonths.html	how can i forget you, disregard how i feel, silently listen, to the words i can't see, for as long as i have tried, and as low as i can be, i will never resign myself, from the trial i seek, why should i forgive you, after all that i've seen, quietly whisper, when my heart wants to scream, for as long as i have tried, and as low as i can be, i will never resign myself, from the trial i seek, there's no time to rest, or to reconsider, for this cruel unsaid, won't concede, for as long as i have tried, and as low as i can be, i will never resign myself, from the trial i seek
